candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
83,2026-02-23T08:45:01.134634+00:00,btc-updown-5m-1771836000,"Bitcoin Up or Down - February 23, 3:40AM-3:45AM ET",65616.74,65618.09,1.35,UP,BUY_UP,UP,0.5600,5.00,True,3.9286,78.57,21.7229,31.7229,60.5,65621.00,4.26
84,2026-02-23T08:55:01.136932+00:00,btc-updown-5m-1771836600,"Bitcoin Up or Down - February 23, 3:50AM-3:55AM ET",65613.98,65594.54,-19.44,DOWN,BUY_DOWN,DOWN,0.5200,5.00,True,4.6154,92.31,26.3383,36.3383,61.5,65612.65,-1.33
85,2026-02-23T09:05:01.123077+00:00,btc-updown-5m-1771837200,"Bitcoin Up or Down - February 23, 4:00AM-4:05AM ET",65676.44,65815.39,138.95,UP,SKIP_EXPENSIVE,,0.7000,0.00,False,0.0000,0.00,26.3383,36.3383,61.5,65720.10,43.66
86,2026-02-23T09:15:01.136003+00:00,btc-updown-5m-1771837800,"Bitcoin Up or Down - February 23, 4:10AM-4:15AM ET",65787.45,65816.86,29.41,UP,SKIP_FLAT,,0.0000,0.00,False,0.0000,0.00,26.3383,36.3383,61.5,65787.45,0.00
87,2026-02-23T09:25:01.139988+00:00,btc-updown-5m-1771838400,"Bitcoin Up or Down - February 23, 4:20AM-4:25AM ET",65738.42,65772.67,34.25,UP,BUY_UP,UP,0.5800,5.00,True,3.6207,72.41,29.9590,39.9590,62.5,65750.63,12.21
88,2026-02-23T09:35:01.141482+00:00,btc-updown-5m-1771839000,"Bitcoin Up or Down - February 23, 4:30AM-4:35AM ET",65844.09,66158.99,314.90,UP,SKIP_EXPENSIVE,,0.6700,0.00,False,0.0000,0.00,29.9590,39.9590,62.5,65829.58,-14.51
89,2026-02-23T09:45:01.122432+00:00,btc-updown-5m-1771839600,"Bitcoin Up or Down - February 23, 4:40AM-4:45AM ET",66279.19,66291.37,12.18,UP,SKIP_EXPENSIVE,,0.6400,0.00,False,0.0000,0.00,29.9590,39.9590,62.5,66259.31,-19.88
90,2026-02-23T09:55:01.126246+00:00,btc-updown-5m-1771840200,"Bitcoin Up or Down - February 23, 4:50AM-4:55AM ET",66314.58,66456.50,141.92,UP,SKIP_EXPENSIVE,,0.7400,0.00,False,0.0000,0.00,29.9590,39.9590,62.5,66255.75,-58.83
91,2026-02-23T10:05:01.134427+00:00,btc-updown-5m-1771840800,"Bitcoin Up or Down - February 23, 5:00AM-5:05AM ET",66404.91,66488.54,83.63,UP,SKIP_EXPENSIVE,,0.6600,0.00,False,0.0000,0.00,29.9590,39.9590,62.5,66367.91,-37.00
92,2026-02-23T10:15:01.140162+00:00,btc-updown-5m-1771841400,"Bitcoin Up or Down - February 23, 5:10AM-5:15AM ET",66358.24,66317.39,-40.85,DOWN,BUY_UP,UP,0.5100,5.00,False,-5.0000,-100.00,24.9590,34.9590,61.0,66358.40,0.16
93,2026-02-23T10:25:00.763010+00:00,btc-updown-5m-1771842000,"Bitcoin Up or Down - February 23, 5:20AM-5:25AM ET",66456.50,66441.99,-14.51,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,24.9590,34.9590,61.0,66459.87,3.37
94,2026-02-23T10:35:01.159736+00:00,btc-updown-5m-1771842600,"Bitcoin Up or Down - February 23, 5:30AM-5:35AM ET",66363.25,66294.01,-69.24,DOWN,BUY_DOWN,DOWN,0.5400,5.00,True,4.2593,85.19,29.2183,39.2183,61.9,66356.62,-6.63
